column_name,non_null,unique_count,dtype
repatriated,581398,2,object
relativeOrganismQuantity,0,0,float64
projectId,0,0,float64
isSequenced,584592,2,bool
gbifRegion,565130,7,object
publishedByGbifRegion,584592,1,object
level0Gid,22492,105,object
level0Name,22492,105,object
level1Gid,22463,474,object
level1Name,22463,464,object
level2Gid,21657,1023,object
level2Name,21410,991,object
level3Gid,9233,468,object
level3Name,8223,441,object
iucnRedListCategory,310799,9,object
