column_name,non_null,unique_count,dtype
species,280330,7216,object
acceptedScientificName,290897,14746,object
verbatimScientificName,290898,27734,object
typifiedName,0,0,float64
protocol,290898,1,object
lastParsed,290898,24995,object
lastCrawled,290898,1,object
repatriated,243959,2,object
relativeOrganismQuantity,0,0,float64
projectId,0,0,float64
isSequenced,290898,1,bool
gbifRegion,240423,7,object
publishedByGbifRegion,290898,1,object
level0Gid,132336,217,object
level0Name,132336,217,object
level1Gid,131292,1487,object
level1Name,131292,1461,object
level2Gid,129512,4380,object
level2Name,129506,4256,object
level3Gid,62984,3681,object
level3Name,61566,3486,object
iucnRedListCategory,123109,9,object
