gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/664/155544_Dorsal_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; dorsal view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/663/155544_DLowerJaw_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; dorsal view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/667/155544_LLowerJaw_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; lateral view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/666/155544_Lateral_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; lateral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/723/665/155544_FullLateral_RB01_MZ.jpg											
665715227				http://fm-digital-asse										
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/665/155544_FullLateral_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; full lateral view of the skull.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/723/663/155544_DLowerJaw_RB01_MZ.jpg											
665715227	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/723/664/155544_Dorsal_RB01_MZ.jpg											
665715470	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/519/192909_Ventral_RB01_MZ.jpg		192909	FMNH 192909 Galago orinus; ventral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
